,JPN,USA,FRA,ITA,DEU,ESP,KOR,SCH,TCH
235,ふくつのたて,Dauntless Shield,Égide Inflexible,Scudo Saldo,Wackerer Schild,Escudo Recio,불굴의방패,不屈之盾,不屈之盾
236,リベロ,Libero,Libéro,Libero,Libero,Líbero,리베로,自由者,自由者
237,たまひろい,Ball Fetch,Ramasse Ball,Raccattapalle,Apport,Recogebolas,볼줍기,捡球,撿球
238,わたげ,Cotton Down,Effilochage,Lanugine,Wollflaum,Pelusa,솜털,棉絮,棉絮
239,スクリューおびれ,Propeller Tail,Propulseur,Elicopinna,Schraubflosse,Hélice Caudal,스크루지느러미,螺旋尾鳍,螺旋尾鰭
240,ミラーアーマー,Mirror Armor,Armure Miroir,Blindospecchio,Spiegelrüstung,Coraza Reflejo,미러아머,镜甲,鏡甲
241,うのミサイル,Gulp Missile,Dégobage,Inghiottimissile,Würggeschoss,Tragamisil,그대로꿀꺽미사일,一口导弹,一口飛彈
242,すじがねいり,Stalwart,Nerfs d'Acier,Volontà di Ferro,Stahlrückgrat,Acérrimo,굳건한신념,坚毅,堅毅
243,じょうききかん,Steam Engine,Turbine,Vapormacchina,Dampfantrieb,Combustible,증기기관,蒸汽机,蒸汽機
244,パンクロック,Punk Rock,Punk Rock,Punk Rock,Punk Rock,Punk Rock,펑크록,庞克摇滚,龐克搖滾
245,すなはき,Sand Spit,Expul'Sable,Sputasabbia,Sandspeier,Expulsarena,모래뿜기,吐沙,吐沙
246,こおりのりんぷん,Ice Scales,Écailles Glacées,Geloscaglie,Eisflügelstaub,Escama de Hielo,얼음인분,冰鳞粉,冰鱗粉
247,じゅくせい,Ripen,Mûrissement,Maturazione,Heranreifen,Maduración,숙성,熟成,熟成
248,アイスフェイス,Ice Face,Tête de Gel,Gelofaccia,Tiefkühlkopf,Cara de Hielo,아이스페이스,结冻头,結凍頭
249,パワースポット,Power Spot,Cercle d'Énergie,Fonte Energetica,Kraftquelle,Fuente Energía,파워스폿,能量点,能量點
250,ぎたい,Mimicry,Mimétisme,Mimetismo,Mimese,Mimetismo,의태,拟态,擬態
251,バリアフリー,Screen Cleaner,Brise-Barrière,Annullabarriere,Hemmungslos,Antibarrera,배리어프리,除障,除障
252,はがねのせいしん,Steely Spirit,Boost Acier,Spiritoferreo,Stählerner Wille,Alma Acerada,강철정신,钢之意志,鋼之意志
253,ほろびのボディ,Perish Body,Corps Condamné,Ultimotocco,Unheilskörper,Cuerpo Mortal,멸망의바디,灭亡之躯,滅亡之軀
254,さまようたましい,Wandering Spirit,Âme Vagabonde,Anima Errante,Rastlose Seele,Alma Errante,떠도는영혼,游魂,遊魂
255,ごりむちゅう,Gorilla Tactics,Entêtement,Vigorilla,Affenfokus,Monotema,무아지경,一猩一意,一猩一意
256,かがくへんかガス,Neutralizing Gas,Gaz Inhibiteur,Gas Reagente,Reaktionsgas,Gas Reactivo,화학변화가스,化学变化气体,化學變化氣體
257,パステルベール,Pastel Veil,Voile Pastel,Pastelvelo,Pastellhülle,Velo Pastel,파스텔베일,粉彩护幕,粉彩護幕
258,はらぺこスイッチ,Hunger Switch,Déclic Fringale,Pancialterna,Heißhunger,Mutapetito,꼬르륵스위치,饱了又饿,飽了又餓
259,クイックドロウ,Quick Draw,Tir Vif,Colpolesto,Schnellschuss,Mano Rápida,퀵드로,速击,速擊
260,ふかしのこぶし,Unseen Fist,Poing Invisible,Pugni Invisibili,Verborgene Faust,Puño Invisible,보이지않는주먹,无形拳,無形拳
261,きみょうなくすり,Curious Medicine,Breuvage Suspect,Stranofarmaco,Kuriose Arznei,Medicina Extraña,기묘한약,怪药,怪藥
262,トランジスタ,Transistor,Transistor,Transistor,Transistor,Transistor,트랜지스터,电晶体,電晶體
263,りゅうのあぎと,Dragon's Maw,Dent de Dragon,Dragomascelle,Drachenkiefer,Mandíbula Dragón,용의턱,龙颚,龍顎
264,しろのいななき,Chilling Neigh,Blanche Ruade,Nitrito Bianco,Helles Wiehern,Relincho Blanco,백의울음,苍白嘶鸣,蒼白嘶鳴
265,くろのいななき,Grim Neigh,Sombre Ruade,Nitrito Nero,Dunkles Wiehern,Relincho Negro,흑의울음,漆黑嘶鸣,漆黑嘶鳴
266,じんばいったい,As One,Osmose Équine,Sintonia Equina,Reitgespann,Unidad Ecuestre,혼연일체,人马一体,人馬一體
267,じんばいったい,As One,Osmose Équine,Sintonia Equina,Reitgespann,Unidad Ecuestre,혼연일체,人马一体,人馬一體
268,とれないにおい,Lingering Aroma,Odeur Tenace,Odore Tenace,Duftschwade,Olor Persistente,가시지않는향기,甩不掉的气味,甩不掉的氣味
269,こぼれダネ,Seed Sower,Semencier,Spargisemi,Streusaat,Disemillar,넘치는씨,掉出种子,掉出種子
270,ねつこうかん,Thermal Exchange,Thermodynamique,Termoscambio,Thermowandel,Termoconversión,열교환,热交换,熱交換
271,いかりのこうら,Anger Shell,Courroupace,Iraguscio,Wutpanzer,Coraza Ira,분노의껍질,愤怒甲壳,憤怒甲殼
272,きよめのしお,Purifying Salt,Sel Purificateur,Sale Purificante,Läutersalz,Sal Purificadora,정화의소금,洁净之盐,潔淨之鹽
273,こんがりボディ,Well-Baked Body,Bien Cuit,Bentostato,Knusperkruste,Cuerpo Horneado,노릇노릇바디,焦香之躯,焦香之軀
274,かぜのり,Wind Rider,Aéroporté,Vento Propizio,Windreiter,Surcavientos,바람타기,乘风,乘風
275,ばんけん,Guard Dog,Chien de Garde,Cane da Guardia,Wachhund,Perro Guardián,파수견,看门犬,看門犬
276,いわはこび,Rocky Payload,Porte-Roche,Portamassi,Steinträger,Transportarrocas,바위나르기,搬岩,搬岩
277,ふうりょくでんき,Wind Power,Turbine Éolienne,Energia Eolica,Windkraft,Energía Eólica,풍력발전,风力发电,風力發電
278,マイティチェンジ,Zero to Hero,Supermutation,Supercambio,Superwechsel,Cambio Heroico,마이티체인지,全能变身,全能變身
279,しれいとう,Commander,Commandant,Torre di Comando,Kommandant,Comandar,사령탑,发号施令,發號施令
280,でんきにかえる,Electromorphosis,Grecharge,Convertivolt,Dynamo,Dinamo,전기로바꾸기,电力转换,電力轉換
281,こだいかっせい,Protosynthesis,Paléosynthèse,Paleoattivazione,Paläosynthese,Paleosíntesis,고대활성,古代活性,古代活性
282,クォークチャージ,Quark Drive,Charge Quantique,Carica Quark,Quantenantrieb,Carga Cuark,쿼크차지,夸克充能,夸克充能
283,おうごんのからだ,Good as Gold,Corps en Or,Corpo Aureo,Goldkörper,Cuerpo Áureo,황금몸,黄金之躯,黃金之軀
284,わざわいのうつわ,Vessel of Ruin,Urne du Fléau,Vaso Nefasto,Unheilsgefäß,Caldero Debacle,재앙의그릇,灾祸之鼎,災禍之鼎
285,わざわいのつるぎ,Sword of Ruin,Épée du Fléau,Spada Nefasta,Unheilsschwert,Espada Debacle,재앙의검,灾祸之剑,災禍之劍
286,わざわいのおふだ,Tablets of Ruin,Bois du Fléau,Amuleto Nefasto,Unheilstafeln,Tablilla Debacle,재앙의목간,灾祸之简,災禍之簡
287,わざわいのたま,Beads of Ruin,Perles du Fléau,Monile Nefasto,Unheilsjuwelen,Abalorio Debacle,재앙의구슬,灾祸之玉,災禍之玉
288,ひひいろのこどう,Orichalcum Pulse,Pouls Orichalque,Ritmo d'Oricalco,Orichalkum-Puls,Latido Oricalco,진홍빛고동,绯红脉动,緋紅脈動
289,ハドロンエンジン,Hadron Engine,Moteur à Hadrons,Motore Adronico,Hadronen-Motor,Motor Hadrónico,하드론엔진,强子引擎,強子引擎
290,びんじょう,Opportunist,Opportuniste,Scrocco,Profiteur,Oportunista,편승,跟风,跟風
291,はんすう,Cud Chew,Ruminant,Ruminante,Wiederkäuer,Rumia,되새김질,反刍,反芻
292,きれあじ,Sharpness,Incisif,Affilama,Scharfkantig,Cortante,예리함,锋锐,鋒銳
293,そうだいしょう,Supreme Overlord,Général Suprême,Generale Supremo,Feldherr,General Supremo,총대장,大将,大將
294,きょうえん,Costar,Collab,Coprotagonismo,Synchronauftritt,Unísono,협연,同台共演,同台共演
295,どくげしょう,Toxic Debris,Dépôt Toxique,Mantossina,Giftbelag,Capa Tóxica,독치장,毒满地,毒滿地
296,テイルアーマー,Armor Tail,Armure Caudale,Codarmatura,Schweifrüstung,Cola Armadura,테일아머,尾甲,尾甲
297,どしょく,Earth Eater,Absorbe-Terre,Mangiaterra,Bodenschmaus,Geofagia,흙먹기,食土,食土
298,きんしのちから,Mycelium Might,Force Fongique,Micoforza,Myzelienkraft,Poder Fúngico,균사의힘,菌丝之力,菌絲之力
299,おもてなし,Hospitality,Aux Petits Soins,Ospitalità,Gastlichkeit,Hospitalidad,대접,款待,款待
300,しんがん,Mind's Eye,Œil Révélateur,Occhio Interiore,Geistiges Auge,Ojo Mental,심안,心眼,心眼
301,おもかげやどし,Embody Aspect,Force Mémorielle,Albergamemorie,Erinnerungskraft,Evocarrecuerdos,초상투영,面影辉映,面影輝映
302,おもかげやどし,Embody Aspect,Force Mémorielle,Albergamemorie,Erinnerungskraft,Evocarrecuerdos,초상투영,面影辉映,面影輝映
303,おもかげやどし,Embody Aspect,Force Mémorielle,Albergamemorie,Erinnerungskraft,Evocarrecuerdos,초상투영,面影辉映,面影輝映
304,おもかげやどし,Embody Aspect,Force Mémorielle,Albergamemorie,Erinnerungskraft,Evocarrecuerdos,초상투영,面影辉映,面影輝映
305,どくのくさり,Toxic Chain,Chaîne Toxique,Catena Tossica,Giftkette,Cadena Tóxica,독사슬,毒锁链,毒鎖鏈
306,かんろなミツ,Supersweet Syrup,Nectar Mielleux,Sciroppo Sublime,Süßer Nektar,Néctar Dulce,감미로운꿀,甘露之蜜,甘露之蜜
307,テラスチェンジ,Tera Shift,Téramorphose,Teramorfosi,Tera-Wandel,Teracambio,테라체인지,太晶变形,太晶變形
308,テラスシェル,Tera Shell,Téra-Carapace,Teraguscio,Tera-Panzer,Teracaparazón,테라셸,太晶甲壳,太晶甲殼
309,ゼロフォーミング,Teraform Zero,Téraformation 0,Zeroformazione,Teraforming Null,Teraformación 0,제로포밍,归零化境,歸零化境
310,どくくぐつ,Poison Puppeteer,Emprise Toxique,Malia Tossica,Giftpuppenspiel,Títere Tóxico,독조종,毒傀儡,毒傀儡
