,JPN,USA,FRA,ITA,DEU,ESP,KOR,SCH,TCH
242,かみくだく,Crunch,Mâchouille,Sgranocchio,Knirscher,Triturar,깨물어부수기,咬碎,咬碎
243,ミラーコート,Mirror Coat,Voile Miroir,Specchiovelo,Spiegelcape,Manto Espejo,미러코트,镜面反射,鏡面反射
244,じこあんじ,Psych Up,Boost,Psicamisù,Psycho-Plus,Autosugestión,자기암시,自我暗示,自我暗示
245,しんそく,Extreme Speed,Vitesse Extrême,Extrarapido,Turbotempo,Veloc. Extrema,신속,神速,神速
246,げんしのちから,Ancient Power,Pouvoir Antique,Forzantica,Antik-Kraft,Poder Pasado,원시의힘,原始之力,原始之力
247,シャドーボール,Shadow Ball,Ball'Ombre,Palla Ombra,Spukball,Bola Sombra,섀도볼,暗影球,暗影球
248,みらいよち,Future Sight,Prescience,Divinazione,Seher,Premonición,미래예지,预知未来,預知未來
249,いわくだき,Rock Smash,Éclate-Roc,Spaccaroccia,Zertrümmerer,Golpe Roca,바위깨기,碎岩,碎岩
250,うずしお,Whirlpool,Siphon,Mulinello,Whirlpool,Torbellino,바다회오리,潮旋,潮旋
251,ふくろだたき,Beat Up,Baston,Picchiaduro,Prügler,Paliza,집단구타,围攻,圍攻
252,ねこだまし,Fake Out,Bluff,Bruciapelo,Mogelhieb,Sorpresa,속이기,击掌奇袭,擊掌奇襲
253,さわぐ,Uproar,Brouhaha,Baraonda,Aufruhr,Alboroto,소란피기,吵闹,吵鬧
254,たくわえる,Stockpile,Stockage,Accumulo,Horter,Reserva,비축하기,蓄力,蓄力
255,はきだす,Spit Up,Relâche,Sfoghenergia,Entfessler,Escupir,토해내기,喷出,噴出
256,のみこむ,Swallow,Avale,Introenergia,Verzehrer,Tragar,꿀꺽,吞下,吞下
257,ねっぷう,Heat Wave,Canicule,Ondacalda,Hitzewelle,Onda Ígnea,열풍,热风,熱風
258,あられ,Hail,Grêle,Grandine,Hagelsturm,Granizo,싸라기눈,冰雹,冰雹
259,いちゃもん,Torment,Tourmente,Attaccalite,Folterknecht,Tormento,트집,无理取闹,無理取鬧
260,おだてる,Flatter,Flatterie,Adulazione,Schmeichler,Camelo,부추기기,吹捧,吹捧
261,おにび,Will-O-Wisp,Feu Follet,Fuocofatuo,Irrlicht,Fuego Fatuo,도깨비불,磷火,鬼火
262,おきみやげ,Memento,Souvenir,Memento,Memento-Mori,Legado,추억의선물,临别礼物,臨別禮物
263,からげんき,Facade,Façade,Facciata,Fassade,Imagen,객기,硬撑,硬撐
264,きあいパンチ,Focus Punch,Mitra-Poing,Centripugno,Power-Punch,Puño Certero,힘껏펀치,真气拳,真氣拳
265,きつけ,Smelling Salts,Stimulant,Maniereforti,Riechsalz,Estímulo,정신차리기,清醒,清醒
266,このゆびとまれ,Follow Me,Par Ici,Sonoqui,Spotlight,Señuelo,날따름,看我嘛,看我嘛
267,しぜんのちから,Nature Power,Force Nature,Naturforza,Natur-Kraft,Adaptación,자연의힘,自然之力,自然之力
268,じゅうでん,Charge,Chargeur,Sottocarica,Ladevorgang,Carga,충전,充电,充電
269,ちょうはつ,Taunt,Provoc,Provocazione,Verhöhner,Mofa,도발,挑衅,挑釁
270,てだすけ,Helping Hand,Coup d'Main,Altruismo,Rechte Hand,Refuerzo,도우미,帮助,幫助
271,トリック,Trick,Tour de Magie,Raggiro,Trickbetrug,Truco,트릭,戏法,戲法
272,なりきり,Role Play,Imitation,Giocodiruolo,Rollenspiel,Imitación,역할,扮演,扮演
273,ねがいごと,Wish,Vœu,Desiderio,Wunschtraum,Deseo,희망사항,祈愿,祈願
274,ねこのて,Assist,Assistance,Assistente,Zuschuss,Ayuda,조수,借助,借助
275,ねをはる,Ingrain,Racines,Radicamento,Verwurzler,Arraigo,뿌리박기,扎根,扎根
276,ばかぢから,Superpower,Surpuissance,Troppoforte,Kraftkoloss,Fuerza Bruta,엄청난힘,蛮力,蠻力
277,マジックコート,Magic Coat,Reflet Magik,Magivelo,Magiemantel,Capa Mágica,매직코트,魔法反射,魔法反射
278,リサイクル,Recycle,Recyclage,Riciclo,Aufbereitung,Reciclaje,리사이클,回收利用,回收利用
279,リベンジ,Revenge,Vendetta,Vendetta,Vergeltung,Desquite,리벤지,报复,報復
280,かわらわり,Brick Break,Casse-Brique,Breccia,Durchbruch,Demolición,깨트리기,劈瓦,劈瓦
281,あくび,Yawn,Bâillement,Sbadiglio,Gähner,Bostezo,하품,哈欠,哈欠
282,はたきおとす,Knock Off,Sabotage,Privazione,Abschlag,Desarme,탁쳐서떨구기,拍落,拍落
283,がむしゃら,Endeavor,Effort,Rimonta,Notsituation,Esfuerzo,죽기살기,蛮干,蠻幹
284,ふんか,Eruption,Éruption,Eruzione,Eruption,Estallido,분화,喷火,噴火
285,スキルスワップ,Skill Swap,Échange,Baratto,Fähigkeitstausch,Intercambio,스킬스왑,特性互换,特性互換
286,ふういん,Imprison,Possessif,Esclusiva,Begrenzer,Sellar,봉인,封印,封印
287,リフレッシュ,Refresh,Régénération,Rinfrescata,Heilung,Alivio,리프레시,焕然一新,煥然一新
288,おんねん,Grudge,Rancune,Rancore,Nachspiel,Rabia,원념,怨念,怨念
289,よこどり,Snatch,Saisie,Scippo,Übernahme,Robo,가로채기,化为己用,搶奪
290,ひみつのちから,Secret Power,Force Cachée,Forzasegreta,Geheimpower,Daño Secreto,비밀의힘,秘密之力,秘密之力
291,ダイビング,Dive,Plongée,Sub,Taucher,Buceo,다이빙,潜水,潛水
292,つっぱり,Arm Thrust,Cogne,Sberletese,Armstoß,Empujón,손바닥치기,猛推,猛推
293,ほごしょく,Camouflage,Camouflage,Camuffamento,Tarnung,Camuflaje,보호색,保护色,保護色
294,ほたるび,Tail Glow,Lumi-Queue,Codadiluce,Schweifglanz,Luminicola,반딧불,萤火,螢火
295,ラスターパージ,Luster Purge,Lumi-Éclat,Abbagliante,Scheinwerfer,Resplandor,러스터퍼지,洁净光芒,潔淨光芒
296,ミストボール,Mist Ball,Ball'Brume,Foschisfera,Nebelball,Bola Neblina,미스트볼,薄雾球,薄霧球
297,フェザーダンス,Feather Dance,Danse Plumes,Danzadipiume,Daunenreigen,Danza Pluma,깃털댄스,羽毛舞,羽毛舞
298,フラフラダンス,Teeter Dance,Danse Folle,Strampadanza,Taumeltanz,Danza Caos,흔들흔들댄스,摇晃舞,搖晃舞
299,ブレイズキック,Blaze Kick,Pied Brûleur,Calciardente,Feuerfeger,Patada Ígnea,블레이즈킥,火焰踢,火焰踢
300,どろあそび,Mud Sport,Lance-Boue,Fangata,Lehmsuhler,Chapoteo Lodo,흙놀이,玩泥巴,玩泥巴
301,アイスボール,Ice Ball,Ball'Glace,Palla Gelo,Frostbeule,Bola Hielo,아이스볼,冰球,冰球
302,ニードルアーム,Needle Arm,Poing Dard,Pugnospine,Nietenranke,Brazo Pincho,바늘팔,尖刺臂,尖刺臂
303,なまける,Slack Off,Paresse,Pigro,Tagedieb,Relajo,게으름피우기,偷懒,偷懶
304,ハイパーボイス,Hyper Voice,Mégaphone,Granvoce,Schallwelle,Vozarrón,하이퍼보이스,巨声,巨聲
305,どくどくのキバ,Poison Fang,Crochet Venin,Velenodenti,Giftzahn,Colmillo Veneno,맹독엄니,剧毒牙,劇毒牙
306,ブレイククロー,Crush Claw,Éclate Griffe,Tritartigli,Zermalmklaue,Garra Brutal,브레이크클로,撕裂爪,撕裂爪
307,ブラストバーン,Blast Burn,Rafale Feu,Incendio,Lohekanonade,Anillo Ígneo,블라스트번,爆炸烈焰,爆炸烈焰
308,ハイドロカノン,Hydro Cannon,Hydroblast,Idrocannone,Aquahaubitze,Hidrocañón,하이드로캐논,加农水炮,加農水炮
309,コメットパンチ,Meteor Mash,Poing Météore,Meteorpugno,Sternenhieb,Puño Meteoro,코멧펀치,彗星拳,彗星拳
310,おどろかす,Astonish,Étonnement,Sgomento,Erstauner,Impresionar,놀래키기,惊吓,驚嚇
311,ウェザーボール,Weather Ball,Ball'Météo,Palla Clima,Meteorologe,Meteorobola,웨더볼,气象球,氣象球
312,アロマセラピー,Aromatherapy,Aromathérapie,Aromaterapia,Aromakur,Aromaterapia,아로마테라피,芳香治疗,芳香治療
313,うそなき,Fake Tears,Croco Larme,Falselacrime,Trugträne,Llanto Falso,거짓울음,假哭,假哭
314,エアカッター,Air Cutter,Tranch'Air,Aerasoio,Windschnitt,Aire Afilado,에어커터,空气利刃,空氣利刃
315,オーバーヒート,Overheat,Surchauffe,Vampata,Hitzekoller,Sofoco,오버히트,过热,過熱
316,かぎわける,Odor Sleuth,Flair,Segugio,Schnüffler,Rastreo,냄새구별,气味侦测,氣味偵測
317,がんせきふうじ,Rock Tomb,Tomberoche,Rocciotomba,Felsgrab,Tumba Rocas,암석봉인,岩石封锁,岩石封鎖
318,ぎんいろのかぜ,Silver Wind,Vent Argenté,Ventargenteo,Silberhauch,Viento Plata,은빛바람,银色旋风,銀色旋風
319,きんぞくおん,Metal Sound,Strido-Son,Ferrostrido,Metallsound,Eco Metálico,금속음,金属音,金屬音
320,くさぶえ,Grass Whistle,Siffl'Herbe,Meloderba,Grasflöte,Silbato,풀피리,草笛,草笛
321,くすぐる,Tickle,Chatouille,Solletico,Spaßkanone,Cosquillas,간지르기,挠痒,搔癢
322,コスモパワー,Cosmic Power,Force Cosmique,Cosmoforza,Kosmik-Kraft,Masa Cósmica,코스믹파워,宇宙力量,宇宙力量
323,しおふき,Water Spout,Giclédo,Zampillo,Fontränen,Salpicar,해수스파우팅,喷水,噴水
324,シグナルビーム,Signal Beam,Rayon Signal,Segnoraggio,Ampelleuchte,Rayo Señal,시그널빔,信号光束,信號光束
325,シャドーパンチ,Shadow Punch,Poing Ombre,Pugnodombra,Finsterfaust,Puño Sombra,섀도펀치,暗影拳,暗影拳
326,じんつうりき,Extrasensory,Extrasenseur,Extrasenso,Sondersensor,Paranormal,신통력,神通力,神通力
327,スカイアッパー,Sky Uppercut,Stratopercut,Stramontante,Himmelhieb,Gancho Alto,스카이어퍼,冲天拳,衝天拳
328,すなじごく,Sand Tomb,Tourbi-Sable,Sabbiotomba,Sandgrab,Bucle Arena,모래지옥,流沙深渊,流沙地獄
329,ぜったいれいど,Sheer Cold,Glaciation,Purogelo,Eiseskälte,Frío Polar,절대영도,绝对零度,絕對零度
330,だくりゅう,Muddy Water,Ocroupi,Fanghiglia,Lehmbrühe,Agua Lodosa,탁류,浊流,濁流
331,タネマシンガン,Bullet Seed,Balle Graine,Semitraglia,Kugelsaat,Semilladora,씨기관총,种子机关枪,種子機關槍
332,つばめがえし,Aerial Ace,Aéropique,Aeroassalto,Aero-Ass,Golpe Aéreo,제비반환,燕返,燕返
333,つららばり,Icicle Spear,Stalactite,Gelolancia,Eisspeer,Carámbano,고드름침,冰锥,冰錐
334,てっぺき,Iron Defense,Mur de Fer,Ferroscudo,Eisenabwehr,Defensa Férrea,철벽,铁壁,鐵壁
335,とおせんぼう,Block,Barrage,Blocco,Rückentzug,Bloqueo,블록,挡路,擋路
336,とおぼえ,Howl,Grondement,Gridodilotta,Jauler,Aullido,멀리짖기,长嚎,長嚎
337,ドラゴンクロー,Dragon Claw,Draco-Griffe,Dragartigli,Drachenklaue,Garra Dragón,드래곤클로,龙爪,龍爪
338,ハードプラント,Frenzy Plant,Végé-Attaque,Radicalbero,Flora-Statue,Planta Feroz,하드플랜트,疯狂植物,瘋狂植物
339,ビルドアップ,Bulk Up,Gonflette,Granfisico,Protzer,Corpulencia,벌크업,健美,健美
340,とびはねる,Bounce,Rebond,Rimbalzo,Sprungfeder,Bote,뛰어오르기,弹跳,彈跳
341,マッドショット,Mud Shot,Tir de Boue,Colpodifango,Lehmschuss,Disparo Lodo,머드샷,泥巴射击,泥巴射擊
342,ポイズンテール,Poison Tail,Queue-Poison,Velenocoda,Giftschweif,Cola Veneno,포이즌테일,毒尾,毒尾
343,ほしがる,Covet,Implore,Supplica,Bezirzer,Antojo,탐내기,渴望,渴望
344,ボルテッカー,Volt Tackle,Électacle,Locomovolt,Volttackle,Placaje Eléc,볼트태클,伏特攻击,伏特攻擊
345,マジカルリーフ,Magical Leaf,Feuille Magik,Fogliamagica,Zauberblatt,Hoja Mágica,매지컬리프,魔法叶,魔法葉
346,みずあそび,Water Sport,Tourniquet,Docciascudo,Nassmacher,Hidrochorro,물놀이,玩水,玩水
347,めいそう,Calm Mind,Plénitude,Calmamente,Gedankengut,Paz Mental,명상,冥想,冥想
348,リーフブレード,Leaf Blade,Lame Feuille,Fendifoglia,Laubklinge,Hoja Aguda,리프블레이드,叶刃,葉刃
349,りゅうのまい,Dragon Dance,Danse Draco,Dragodanza,Drachentanz,Danza Dragón,용의춤,龙之舞,龍之舞
350,ロックブラスト,Rock Blast,Boule Roc,Cadutamassi,Felswurf,Pedrada,록블라스트,岩石爆击,岩石爆擊
351,でんげきは,Shock Wave,Onde de Choc,Ondashock,Schockwelle,Onda Voltio,전격파,电击波,電擊波
352,みずのはどう,Water Pulse,Vibraqua,Idropulsar,Aquawelle,Hidropulso,물의파동,水之波动,水之波動
353,はめつのねがい,Doom Desire,Vœu Destructeur,Desiderio Fatale,Kismetwunsch,Deseo Oculto,파멸의소원,破灭之愿,破滅之願
354,サイコブースト,Psycho Boost,Psycho-Boost,Psicoslancio,Psyschub,Psicoataque,사이코부스트,精神突进,精神突進
355,はねやすめ,Roost,Atterrissage,Trespolo,Ruheort,Respiro,날개쉬기,羽栖,羽棲
356,じゅうりょく,Gravity,Gravité,Gravità,Erdanziehung,Gravedad,중력,重力,重力
357,ミラクルアイ,Miracle Eye,Œil Miracle,Miracolvista,Wunderauge,Gran Ojo,미라클아이,奇迹之眼,奇跡之眼
358,めざましビンタ,Wake-Up Slap,Réveil Forcé,Svegliopacca,Weckruf,Espabila,잠깨움뺨치기,唤醒巴掌,喚醒巴掌
359,アームハンマー,Hammer Arm,Marto-Poing,Martelpugno,Hammerarm,Machada,암해머,臂锤,臂錘
360,ジャイロボール,Gyro Ball,Gyroballe,Vortexpalla,Gyroball,Giro Bola,자이로볼,陀螺球,陀螺球
361,いやしのねがい,Healing Wish,Vœu Soin,Curardore,Heilopfer,Deseo Cura,치유소원,治愈之愿,治癒之願
362,しおみず,Brine,Saumure,Acquadisale,Lake,Salmuera,소금물,盐水,鹽水
363,しぜんのめぐみ,Natural Gift,Don Naturel,Dononaturale,Beerenkräfte,Don Natural,자연의은혜,自然之恩,自然之恩
364,フェイント,Feint,Ruse,Fintoattacco,Offenlegung,Amago,페인트,佯攻,佯攻
365,ついばむ,Pluck,Picore,Spennata,Pflücker,Picoteo,쪼아대기,啄食,啄食
366,おいかぜ,Tailwind,Vent Arrière,Ventoincoda,Rückenwind,Viento Afín,순풍,顺风,順風
367,つぼをつく,Acupressure,Acupression,Acupressione,Akupressur,Acupresión,경혈찌르기,点穴,點穴
368,メタルバースト,Metal Burst,Fulmifer,Metalscoppio,Metallstoß,Represión Metal,메탈버스트,金属爆炸,金屬爆炸
369,とんぼがえり,U-turn,Demi-Tour,Retromarcia,Kehrtwende,Ida y Vuelta,유턴,急速折返,急速折返
370,インファイト,Close Combat,Close Combat,Zuffa,Nahkampf,A Bocajarro,인파이트,近身战,近身戰
371,しっぺがえし,Payback,Représailles,Rivincita,Gegenstoß,Vendetta,보복,以牙还牙,以牙還牙
372,ダメおし,Assurance,Assurance,Garanzia,Gewissheit,Buena Baza,승부굳히기,恶意追击,惡意追擊
373,さしおさえ,Embargo,Embargo,Divieto,Itemsperre,Embargo,금제,查封,查封
374,なげつける,Fling,Dégommage,Lancio,Schleuder,Lanzamiento,내던지기,投掷,投擲
375,サイコシフト,Psycho Shift,Échange Psy,Psicotransfer,Psybann,Psicocambio,사이코시프트,精神转移,精神轉移
376,きりふだ,Trump Card,Atout,Asso,Trumpfkarte,As Oculto,마지막수단,王牌,王牌
377,かいふくふうじ,Heal Block,Anti-Soin,Anticura,Heilblockade,Anticura,회복봉인,回复封锁,回復封鎖
378,しぼりとる,Wring Out,Essorage,Strizzata,Auswringen,Estrujón,쥐어짜기,绞紧,絞緊
379,パワートリック,Power Trick,Astuce Force,Ingannoforza,Krafttrick,Truco Fuerza,파워트릭,力量戏法,力量戲法
380,いえき,Gastro Acid,Suc Digestif,Gastroacido,Magensäfte,Bilis,위액,胃液,胃液
381,おまじない,Lucky Chant,Air Veinard,Fortuncanto,Beschwörung,Conjuro,주술,幸运咒语,幸運咒語
382,さきどり,Me First,Moi d'Abord,Precedenza,Egotrip,Yo Primero,선취,抢先一步,搶先一步
383,まねっこ,Copycat,Photocopie,Copione,Imitator,Copión,흉내쟁이,仿效,仿效
384,パワースワップ,Power Swap,Permuforce,Barattoforza,Krafttausch,Cambiafuerza,파워스왑,力量互换,力量互換
385,ガードスワップ,Guard Swap,Permugarde,Barattoscudo,Schutztausch,Cambiadefensa,가드스왑,防守互换,防守互換
386,おしおき,Punishment,Punition,Punizione,Strafattacke,Castigo,혼내기,惩罚,懲罰
387,とっておき,Last Resort,Dernier Recours,Ultimascelta,Zuflucht,Última Baza,비장의무기,珍藏,珍藏
388,なやみのタネ,Worry Seed,Soucigraine,Affannoseme,Sorgensamen,Abatidoras,고민씨,烦恼种子,煩惱種子
389,ふいうち,Sucker Punch,Coup Bas,Sbigoattacco,Tiefschlag,Golpe Bajo,기습,突袭,突襲
390,どくびし,Toxic Spikes,Pics Toxik,Fielepunte,Giftspitzen,Púas Tóxicas,독압정,毒菱,毒菱
391,ハートスワップ,Heart Swap,Permucœur,Cuorbaratto,Statustausch,Cambiaalmas,하트스왑,心灵互换,心靈互換
392,アクアリング,Aqua Ring,Anneau Hydro,Acquanello,Wasserring,Acua Aro,아쿠아링,水流环,水流環
393,でんじふゆう,Magnet Rise,Vol Magnétik,Magnetascesa,Magnetflug,Levitón,전자부유,电磁飘浮,電磁飄浮
394,フレアドライブ,Flare Blitz,Boutefeu,Fuococarica,Flammenblitz,Envite Ígneo,플레어드라이브,闪焰冲锋,閃焰衝鋒
395,はっけい,Force Palm,Forte-Paume,Palmoforza,Kraftwelle,Palmeo,발경,发劲,發勁
396,はどうだん,Aura Sphere,Aurasphère,Sferapulsar,Aurasphäre,Esfera Aural,파동탄,波导弹,波導彈
397,ロックカット,Rock Polish,Poliroche,Lucidatura,Steinpolitur,Pulimento,록커트,岩石打磨,岩石打磨
398,どくづき,Poison Jab,Direct Toxik,Velenpuntura,Gifthieb,Puya Nociva,독찌르기,毒击,毒擊
399,あくのはどう,Dark Pulse,Vibrobscur,Neropulsar,Finsteraura,Pulso Umbrío,악의파동,恶之波动,惡之波動
400,つじぎり,Night Slash,Tranche-Nuit,Nottesferza,Nachthieb,Tajo Umbrío,깜짝베기,暗袭要害,暗襲要害
401,アクアテール,Aqua Tail,Hydro-Queue,Idrondata,Nassschweif,Acua Cola,아쿠아테일,水流尾,水流尾
402,タネばくだん,Seed Bomb,Canon Graine,Semebomba,Samenbomben,Bomba Germen,씨폭탄,种子炸弹,種子炸彈
403,エアスラッシュ,Air Slash,Lame d'Air,Eterelama,Luftschnitt,Tajo Aéreo,에어슬래시,空气之刃,空氣斬
404,シザークロス,X-Scissor,Plaie Croix,Forbice X,Kreuzschere,Tijera X,시저크로스,十字剪,十字剪
405,むしのさざめき,Bug Buzz,Bourdon,Ronzio,Käfergebrumm,Zumbido,벌레의야단법석,虫鸣,蟲鳴
406,りゅうのはどう,Dragon Pulse,Draco-Choc,Dragopulsar,Drachenpuls,Pulso Dragón,용의파동,龙之波动,龍之波動
407,ドラゴンダイブ,Dragon Rush,Draco-Charge,Dragofuria,Drachenstoß,Carga Dragón,드래곤다이브,龙之俯冲,龍之俯衝
408,パワージェム,Power Gem,Rayon Gemme,Gemmoforza,Juwelenkraft,Joya de Luz,파워젬,力量宝石,力量寶石
409,ドレインパンチ,Drain Punch,Vampi-Poing,Assorbipugno,Ableithieb,Puño Drenaje,드레인펀치,吸取拳,吸取拳
410,しんくうは,Vacuum Wave,Onde Vide,Vuotonda,Vakuumwelle,Onda Vacío,진공파,真空波,真空波
411,きあいだま,Focus Blast,Exploforce,Focalcolpo,Fokusstoß,Onda Certera,기합구슬,真气弹,真氣彈
412,エナジーボール,Energy Ball,Éco-Sphère,Energipalla,Energieball,Energibola,에너지볼,能量球,能量球
413,ブレイブバード,Brave Bird,Rapace,Baldeali,Sturzflug,Pájaro Osado,브레이브버드,勇鸟猛攻,勇鳥猛攻
414,だいちのちから,Earth Power,Telluriforce,Geoforza,Erdkräfte,Tierra Viva,대지의힘,大地之力,大地之力
415,すりかえ,Switcheroo,Passe-Passe,Rapidscambio,Wechseldich,Trapicheo,바꿔치기,掉包,掉包
416,ギガインパクト,Giga Impact,Giga Impact,Gigaimpatto,Gigastoß,Gigaimpacto,기가임팩트,终极冲击,終極衝擊
417,わるだくみ,Nasty Plot,Machination,Congiura,Ränkeschmied,Maquinación,나쁜음모,诡计,詭計
418,バレットパンチ,Bullet Punch,Pisto-Poing,Pugnoscarica,Patronenhieb,Puño Bala,불릿펀치,子弹拳,子彈拳
419,ゆきなだれ,Avalanche,Avalanche,Slavina,Lawine,Alud,눈사태,雪崩,雪崩
420,こおりのつぶて,Ice Shard,Éclats Glace,Geloscheggia,Eissplitter,Esquirla Helada,얼음뭉치,冰砾,冰礫
421,シャドークロー,Shadow Claw,Griffe Ombre,Ombrartigli,Dunkelklaue,Garra Umbría,섀도클로,暗影爪,暗影爪
422,かみなりのキバ,Thunder Fang,Crocs Éclair,Fulmindenti,Donnerzahn,Colmillo Rayo,번개엄니,雷电牙,雷電牙
423,こおりのキバ,Ice Fang,Crocs Givre,Gelodenti,Eiszahn,Colmillo Hielo,얼음엄니,冰冻牙,冰凍牙
424,ほのおのキバ,Fire Fang,Crocs Feu,Rogodenti,Feuerzahn,Colmillo Ígneo,불꽃엄니,火焰牙,火焰牙
425,かげうち,Shadow Sneak,Ombre Portée,Furtivombra,Schattenstoß,Sombra Vil,야습,影子偷袭,影子偷襲
426,どろばくだん,Mud Bomb,Boue-Bombe,Pantanobomba,Schlammbombe,Bomba Fango,진흙폭탄,泥巴炸弹,泥巴炸彈
427,サイコカッター,Psycho Cut,Coupe Psycho,Psicotaglio,Psychoklinge,Psicocorte,사이코커터,精神利刃,精神利刃
428,しねんのずつき,Zen Headbutt,Psykoud'Boul,Cozzata Zen,Zen-Kopfstoß,Cabezazo Zen,사념의박치기,意念头锤,意念頭錘
429,ミラーショット,Mirror Shot,Miroi-Tir,Cristalcolpo,Spiegelsalve,Disparo Espejo,미러샷,镜光射击,鏡光射擊
430,ラスターカノン,Flash Cannon,Luminocanon,Cannonflash,Lichtkanone,Foco Resplandor,러스터캐논,加农光炮,加農光炮
431,ロッククライム,Rock Climb,Escalade,Scalaroccia,Kraxler,Treparrocas,록클라임,攀岩,攀岩
432,きりばらい,Defog,Anti-Brume,Scacciabruma,Auflockern,Despejar,안개제거,清除浓雾,清除濃霧
433,トリックルーム,Trick Room,Distorsion,Distortozona,Bizarroraum,Espacio Raro,트릭룸,戏法空间,戲法空間
434,りゅうせいぐん,Draco Meteor,Draco-Météore,Dragobolide,Draco Meteor,Cometa Draco,용성군,流星群,流星群
435,ほうでん,Discharge,Coup d'Jus,Scarica,Ladungsstoß,Chispazo,방전,放电,放電
436,ふんえん,Lava Plume,Ébullilave,Lavasbuffo,Flammensturm,Humareda,분연,喷烟,噴煙
437,リーフストーム,Leaf Storm,Tempête Verte,Verdebufera,Blättersturm,Lluevehojas,리프스톰,飞叶风暴,飛葉風暴
438,パワーウィップ,Power Whip,Mégafouet,Vigorcolpo,Blattgeißel,Latigazo,파워휩,强力鞭打,強力鞭打
439,がんせきほう,Rock Wrecker,Roc-Boulet,Devastomasso,Felswerfer,Romperrocas,암석포,岩石炮,岩石炮
440,クロスポイズン,Cross Poison,Poison Croix,Velenocroce,Giftstreich,Veneno X,크로스포이즌,十字毒刃,十字毒刃
441,ダストシュート,Gunk Shot,Détricanon,Sporcolancio,Mülltreffer,Lanzamugre,더스트슈트,垃圾射击,垃圾射擊
442,アイアンヘッド,Iron Head,Tête de Fer,Metaltestata,Eisenschädel,Cabeza de Hierro,아이언헤드,铁头,鐵頭
443,マグネットボム,Magnet Bomb,Bombe Aimant,Bombagnete,Magnetbombe,Bomba Imán,마그넷봄,磁铁炸弹,磁鐵炸彈
444,ストーンエッジ,Stone Edge,Lame de Roc,Pietrataglio,Steinkante,Roca Afilada,스톤에지,尖石攻击,尖石攻擊
445,ゆうわく,Captivate,Séduction,Incanto,Liebreiz,Seducción,유혹,诱惑,誘惑
446,ステルスロック,Stealth Rock,Piège de Roc,Levitoroccia,Tarnsteine,Trampa Rocas,스텔스록,隐形岩,隱形岩
447,くさむすび,Grass Knot,Nœud Herbe,Laccioerboso,Strauchler,Hierba Lazo,풀묶기,打草结,打草結
448,おしゃべり,Chatter,Babil,Schiamazzo,Geschwätz,Cháchara,수다,喋喋不休,喋喋不休
449,さばきのつぶて,Judgment,Jugement,Giudizio,Urteilskraft,Sentencia,심판의뭉치,制裁光砾,制裁光礫
450,むしくい,Bug Bite,Piqûre,Coleomorso,Käferbiss,Picadura,벌레먹기,虫咬,蟲咬
451,チャージビーム,Charge Beam,Rayon Chargé,Raggioscossa,Ladestrahl,Rayo Carga,차지빔,充电光束,充電光束
452,ウッドハンマー,Wood Hammer,Martobois,Mazzuolegno,Holzhammer,Mazazo,우드해머,木槌,木槌
453,アクアジェット,Aqua Jet,Aqua-Jet,Acquagetto,Wasserdüse,Acua Jet,아쿠아제트,水流喷射,水流噴射
454,こうげきしれい,Attack Order,Appel Attaque,Comandourto,Schlagbefehl,Al Ataque,공격지령,攻击指令,攻擊指令
455,ぼうぎょしれい,Defend Order,Appel Défense,Comandoscudo,Blockbefehl,A Defender,방어지령,防御指令,防禦指令
456,かいふくしれい,Heal Order,Appel Soins,Comandocura,Heilbefehl,Auxilio,회복지령,回复指令,回復指令
457,もろはのずつき,Head Smash,Fracass'Tête,Zuccata,Kopfstoß,Testarazo,양날박치기,双刃头锤,雙刃頭錘
458,ダブルアタック,Double Hit,Coup Double,Doppiosmash,Doppelschlag,Doble Golpe,더블어택,二连击,二連擊
459,ときのほうこう,Roar of Time,Hurle-Temps,Fragortempo,Zeitenlärm,Distorsión,시간의포효,时光咆哮,時光咆哮
460,あくうせつだん,Spacial Rend,Spatio-Rift,Fendispazio,Raumschlag,Corte Vacío,공간절단,亚空裂斩,亞空裂斬
461,みかづきのまい,Lunar Dance,Danse Lune,Lunardanza,Lunartanz,Danza Lunar,초승달춤,新月舞,新月舞
462,にぎりつぶす,Crush Grip,Presse,Sbriciolmano,Quetschgriff,Agarrón,묵사발,捏碎,捏碎
463,マグマストーム,Magma Storm,Vortex Magma,Magmaclisma,Lavasturm,Lluvia Ígnea,마그마스톰,熔岩风暴,熔岩風暴
464,ダークホール,Dark Void,Trou Noir,Vuototetro,Schlummerort,Brecha Negra,다크홀,暗黑洞,暗黑洞
465,シードフレア,Seed Flare,Fulmigraine,Infuriaseme,Schocksamen,Fulgor Semilla,시드플레어,种子闪光,種子閃光
466,あやしいかぜ,Ominous Wind,Vent Mauvais,Funestovento,Unheilböen,Viento Aciago,괴상한바람,奇异之风,奇異之風
467,シャドーダイブ,Shadow Force,Revenant,Oscurotuffo,Schemenkraft,Golpe Umbrío,섀도다이브,暗影潜袭,暗影潛襲
468,つめとぎ,Hone Claws,Aiguisage,Unghiaguzze,Klauenwetzer,Afilagarras,손톱갈기,磨爪,磨爪
469,ワイドガード,Wide Guard,Garde Large,Bodyguard,Rundumschutz,Vasta Guardia,와이드가드,广域防守,廣域防守
470,ガードシェア,Guard Split,Partage Garde,Paridifesa,Schutzteiler,Isoguardia,가드셰어,防守平分,防守平分
